type,time,latitude,longitude,altitude (ft),eos,name,desc
T,2020-10-29 17:39:18,42.951138379,-78.821959470,687.0,,29-Oct-2020-1413,
T,2020-10-29 17:39:20,42.951159268,-78.821995218,685.7,,,
T,2020-10-29 17:39:22,42.951165338,-78.822021897,685.6,,,
T,2020-10-29 17:39:24,42.951146184,-78.822027908,685.6,,,
T,2020-10-29 17:39:27,42.951127976,-78.821994921,685.4,,,
T,2020-10-29 17:39:29,42.951141483,-78.821975944,686.8,1,,
T,2020-10-29 17:41:03,42.951717804,-78.821531166,688.0,,,
T,2020-10-29 17:41:05,42.951711808,-78.821507233,689.2,,,
T,2020-10-29 17:41:07,42.951703068,-78.821478627,690.3,,,
T,2020-10-29 17:41:09,42.951716576,-78.821461132,689.8,,,
T,2020-10-29 17:41:11,42.951735182,-78.821475120,689.1,,,
T,2020-10-29 17:41:14,42.951722256,-78.821499085,688.5,,,
T,2020-10-29 17:41:16,42.951703889,-78.821496490,688.4,1,,
T,2020-10-29 17:42:27,42.952386521,-78.821816067,690.4,,,
T,2020-10-29 17:42:30,42.952405807,-78.821811865,688.2,,,
T,2020-10-29 17:42:33,42.952397032,-78.821848240,688.7,,,
T,2020-10-29 17:42:35,42.952379171,-78.821833924,688.6,,,
T,2020-10-29 17:42:38,42.952377114,-78.821798418,690.0,1,,
T,2020-10-29 17:44:09,42.953295524,-78.821195039,689.2,,,
T,2020-10-29 17:44:11,42.953299455,-78.821170893,688.8,,,
T,2020-10-29 17:44:13,42.953281155,-78.821158331,688.7,,,
T,2020-10-29 17:44:24,42.953267072,-78.821137040,690.4,1,,
T,2020-10-29 17:46:10,42.953815254,-78.820025621,691.7,,,
T,2020-10-29 17:46:11,42.953809603,-78.820000465,692.4,,,
T,2020-10-29 17:46:15,42.953827464,-78.820019915,690.2,,,
T,2020-10-29 17:46:17,42.953808806,-78.820026301,691.9,1,,
T,2020-10-29 17:47:38,42.954608494,-78.819249629,690.3,,,
T,2020-10-29 17:47:40,42.954587439,-78.819229861,691.2,,,
T,2020-10-29 17:47:42,42.954566947,-78.819209649,690.9,,,
T,2020-10-29 17:47:44,42.954569693,-78.819182987,689.8,,,
T,2020-10-29 17:47:46,42.954597149,-78.819190504,691.0,,,
T,2020-10-29 17:47:48,42.954605971,-78.819220514,690.3,1,,
T,2020-10-29 17:49:47,42.955460738,-78.817854827,691.0,,,
T,2020-10-29 17:49:52,42.955441353,-78.817853863,690.0,,,
T,2020-10-29 17:49:54,42.955456456,-78.817839359,690.6,,,
T,2020-10-29 17:49:58,42.955439157,-78.817853622,690.5,1,,
T,2020-10-29 17:50:11,42.955535455,-78.817817069,689.4,,,
T,2020-10-29 17:50:13,42.955553580,-78.817823843,688.2,,,
T,2020-10-29 17:50:17,42.955533646,-78.817800066,690.4,,,
T,2020-10-29 17:50:19,42.955519548,-78.817817868,690.0,1,,
T,2020-10-29 17:51:17,42.956009168,-78.817102369,689.5,,,
T,2020-10-29 17:51:19,42.956026954,-78.817091570,690.6,,,
T,2020-10-29 17:51:23,42.956037516,-78.817125003,690.8,,,
T,2020-10-29 17:51:26,42.956016681,-78.817128157,688.9,,,
T,2020-10-29 17:51:28,42.956002242,-78.817106768,689.9,1,,
T,2020-10-29 17:52:47,42.955119633,-78.816945074,693.5,,,
T,2020-10-29 17:52:49,42.955096403,-78.816948217,693.6,,,
T,2020-10-29 17:52:52,42.955105354,-78.816986140,694.0,,,
T,2020-10-29 17:52:54,42.955122355,-78.816998067,693.4,1,,
T,2020-10-29 17:54:06,42.954549808,-78.816194228,691.9,,,
T,2020-10-29 17:54:08,42.954543973,-78.816167412,691.9,,,
T,2020-10-29 17:54:10,42.954563053,-78.816162772,692.9,,,
T,2020-10-29 17:54:12,42.954581394,-78.816184458,693.6,,,
T,2020-10-29 17:54:14,42.954592486,-78.816210573,693.3,,,
T,2020-10-29 17:54:16,42.954593147,-78.816241754,693.3,,,
T,2020-10-29 17:54:20,42.954573762,-78.816257983,693.0,,,
T,2020-10-29 17:54:22,42.954547316,-78.816241047,694.3,,,
T,2020-10-29 17:54:24,42.954527433,-78.816222434,693.1,1,,
T,2020-10-29 17:55:08,42.954464412,-78.815637801,693.1,,,
T,2020-10-29 17:55:10,42.954474571,-78.815605633,692.4,,,
T,2020-10-29 17:55:16,42.954487945,-78.815632958,693.0,,,
T,2020-10-29 17:55:18,42.954472173,-78.815652077,693.1,,,
T,2020-10-29 17:55:20,42.954448703,-78.815661845,692.9,,,
T,2020-10-29 17:55:22,42.954431279,-78.815649871,692.7,1,,
T,2020-10-29 17:56:33,42.954363003,-78.814537193,692.1,,,
T,2020-10-29 17:56:37,42.954338381,-78.814530379,694.0,,,
T,2020-10-29 17:56:41,42.954345799,-78.814560917,692.8,,,
T,2020-10-29 17:56:46,42.954358608,-78.814532808,693.0,1,,
T,2020-10-29 17:56:55,42.954275287,-78.814527869,692.6,,,
T,2020-10-29 17:56:59,42.954277272,-78.814553907,692.8,,,
T,2020-10-29 17:57:02,42.954289601,-78.814534668,692.9,,,
T,2020-10-29 17:57:07,42.954267767,-78.814538289,693.2,1,,
T,2020-10-29 17:58:44,42.953238621,-78.814139969,693.2,,,
T,2020-10-29 17:58:46,42.953218640,-78.814139936,693.7,,,
T,2020-10-29 17:58:48,42.953218907,-78.814175477,694.0,,,
T,2020-10-29 17:58:50,42.953231850,-78.814197685,693.3,,,
T,2020-10-29 17:58:52,42.953253815,-78.814200525,693.2,,,
T,2020-10-29 17:58:57,42.953238764,-78.814174669,693.0,1,,
T,2020-10-29 17:59:20,42.953255910,-78.813899553,691.2,,,
T,2020-10-29 17:59:24,42.953234611,-78.813885028,691.6,,,
T,2020-10-29 17:59:27,42.953232316,-78.813912170,692.6,,,
T,2020-10-29 17:59:30,42.953248195,-78.813926049,691.7,1,,
T,2020-10-29 18:01:06,42.952376194,-78.814156269,691.9,,,
T,2020-10-29 18:01:10,42.952396656,-78.814167893,692.3,,,
T,2020-10-29 18:01:14,42.952401261,-78.814143200,691.2,,,
T,2020-10-29 18:01:17,42.952379595,-78.814133894,691.3,1,,
T,2020-10-29 18:02:32,42.952279531,-78.815299400,692.7,,,
T,2020-10-29 18:02:34,42.952267801,-78.815320156,693.1,,,
T,2020-10-29 18:02:37,42.952265402,-78.815345785,692.8,,,
T,2020-10-29 18:02:39,42.952286478,-78.815351325,692.6,,,
T,2020-10-29 18:02:42,42.952299218,-78.815321899,693.0,1,,
T,2020-10-29 18:03:40,42.952417921,-78.816214275,695.6,,,
T,2020-10-29 18:03:43,42.952429693,-78.816238056,697.3,,,
T,2020-10-29 18:03:46,42.952446860,-78.816215082,695.7,,,
T,2020-10-29 18:03:49,42.952448854,-78.816183910,695.1,,,
T,2020-10-29 18:03:50,42.952429366,-78.816181934,695.5,1,,
T,2020-10-29 18:04:25,42.952027380,-78.816259454,694.0,,,
T,2020-10-29 18:04:27,42.952028527,-78.816286940,694.7,,,
T,2020-10-29 18:04:30,42.952049047,-78.816294717,692.9,,,
T,2020-10-29 18:04:35,42.952047828,-78.816267120,693.5,1,,
T,2020-10-29 18:06:14,42.950831738,-78.816703456,690.3,,,
T,2020-10-29 18:06:16,42.950810496,-78.816703535,689.5,,,
T,2020-10-29 18:06:19,42.950792358,-78.816718470,689.6,,,
T,2020-10-29 18:06:22,42.950810820,-78.816742806,690.0,,,
T,2020-10-29 18:06:24,42.950829807,-78.816743608,688.7,,,
T,2020-10-29 18:06:26,42.950844396,-78.816728864,689.4,1,,
T,2020-10-29 18:07:45,42.950211735,-78.817769506,682.7,,,
T,2020-10-29 18:07:46,42.950203865,-78.817792830,683.8,,,
T,2020-10-29 18:07:48,42.950202366,-78.817821863,684.4,,,
T,2020-10-29 18:07:52,42.950226646,-78.817813442,684.2,,,
T,2020-10-29 18:07:54,42.950237160,-78.817790678,684.0,,,
T,2020-10-29 18:07:58,42.950224810,-78.817772539,683.4,1,,
T,2020-10-29 18:08:29,42.950191763,-78.818301306,680.8,,,
T,2020-10-29 18:08:31,42.950202726,-78.818328470,680.6,,,
T,2020-10-29 18:08:33,42.950222481,-78.818349833,680.7,,,
T,2020-10-29 18:08:35,42.950244246,-78.818358540,681.4,,,
T,2020-10-29 18:08:37,42.950261034,-78.818326831,681.9,,,
T,2020-10-29 18:08:39,42.950263640,-78.818298397,679.9,,,
T,2020-10-29 18:08:42,42.950239730,-78.818292335,679.5,1,,
T,2020-10-29 18:09:22,42.949924833,-78.818572224,677.3,,,
T,2020-10-29 18:09:25,42.949908357,-78.818592763,677.9,,,
T,2020-10-29 18:09:27,42.949921215,-78.818621917,677.1,,,
T,2020-10-29 18:09:29,42.949937451,-78.818650774,676.8,,,
T,2020-10-29 18:09:32,42.949956121,-78.818629878,676.2,1,,
T,2020-10-29 18:10:31,42.949577102,-78.819101612,677.1,,,
T,2020-10-29 18:10:33,42.949584826,-78.819130714,677.6,,,
T,2020-10-29 18:10:35,42.949596895,-78.819153889,677.2,,,
T,2020-10-29 18:10:41,42.949589821,-78.819121855,677.0,,,
T,2020-10-29 18:10:44,42.949572642,-78.819103912,677.4,1,,
T,2020-10-29 18:12:08,42.949753304,-78.820184985,677.5,,,
T,2020-10-29 18:12:10,42.949760270,-78.820216209,678.1,,,
T,2020-10-29 18:12:12,42.949781327,-78.820213699,677.0,,,
T,2020-10-29 18:12:15,42.949781014,-78.820169635,675.7,,,
T,2020-10-29 18:12:17,42.949781524,-78.820140556,675.7,,,
T,2020-10-29 18:12:20,42.949763665,-78.820163929,677.5,1,,
T,2020-10-29 18:13:14,42.950269220,-78.820812162,678.5,,,
T,2020-10-29 18:13:16,42.950286146,-78.820830516,678.0,,,
T,2020-10-29 18:13:19,42.950299872,-78.820798630,679.8,,,
T,2020-10-29 18:13:21,42.950301112,-78.820757823,679.3,,,
T,2020-10-29 18:13:23,42.950292395,-78.820734671,679.9,,,
T,2020-10-29 18:13:25,42.950275144,-78.820725684,679.1,,,
T,2020-10-29 18:13:28,42.950273240,-78.820752182,679.7,,,
